factor,entry_bar,exit_bar,day,position,ret,pnl
Open/Mid Ratio,1501,1601,0,-0.6991021122164863,0.001924509594649848,-0.001380383828211427
Open/Mid Ratio,1801,1901,0,-0.8957139885031898,-0.0011511976371126886,0.0009863581276684946
Open/Mid Ratio,4201,4301,0,-0.6796661635916608,-0.00038414427557709185,0.00022710655786759666
Open/Mid Ratio,6301,6401,1,-0.5128182001422639,0.0,-2.5640910007113194e-05
Open/Mid Ratio,6901,7001,1,1.0,0.0023014205155749146,0.0022514205155749144
Open/Mid Ratio,7201,7301,1,0.6942099768056482,-0.0003828206451504945,-0.0003004684100309305
Open/Mid Ratio,12801,12901,2,-0.5546520550381201,-0.0003860154027046647,0.00018637163363460378
Open/Mid Ratio,13701,13801,2,0.5099955037215295,0.001543785556895605,0.0007618239175409195
Open/Mid Ratio,13901,14001,2,0.5462377918881075,0.0,-2.7311889594405376e-05
Open/Mid Ratio,14201,14301,2,0.5092051800392243,-0.00038652012448270323,-0.00022227830857795953
Open/Mid Ratio,16901,17001,3,0.7795026868899214,0.0,-3.897513434449607e-05
Open/Mid Ratio,17001,17101,3,0.7710082440008815,0.0,-3.855041220004408e-05
Open/Mid Ratio,17301,17401,3,0.6964535786210867,0.00038443963614809284,0.0002329216814280734
Open/Mid Ratio,18101,18201,3,0.8168380956684106,-0.00038577450532739643,-0.0003559572170724741
Open/Mid Ratio,18601,18701,3,-0.5523309616456027,-0.0011569691692495665,0.000611413345763647
Open/Mid Ratio,20601,20701,4,0.7723705469751252,0.002300629551196254,0.0017383199774958311
Open/Mid Ratio,21801,21901,4,-0.5491843322203342,0.0011578621721652915,-0.0006633389804347981
Open/Mid Ratio,21901,22001,4,0.8694859520666477,-0.000385568966983052,-0.0003787210979479452
Open/Mid Ratio,22101,22201,4,0.808257674233344,0.0,-4.04128837116672e-05
Open/Mid Ratio,22601,22701,4,0.5128574009744887,0.0011583092973952436,0.0005684046257379863
Open/Mid Ratio,25901,26001,5,0.5864497642483555,0.0007709541108591456,0.00042280336834722867
Open/Mid Ratio,26101,26201,5,0.558964198102201,0.0007701553907160097,0.0004025410804805516
Open/Mid Ratio,26401,26501,5,1.0,-0.000385568966983052,-0.000435568966983052
Open/Mid Ratio,26701,26801,5,0.8959479420002453,0.0,-4.479739710001227e-05
Open/Mid Ratio,28201,28301,5,0.7339768695662077,-0.0019112676386233707,-0.0014395250817782897
Open/Mid Ratio,28401,28501,5,0.7396079661553591,0.0007666130643695368,0.0005300127310587124
Open/Mid Ratio,34801,34901,7,0.5124890935173141,0.001521471502449634,0.0007541130964269731
Open/Mid Ratio,36101,36201,7,-0.5153495465216502,-0.00038029121513694086,0.00017021542794090727
Open/Mid Ratio,36201,36301,7,-0.7413631803400397,-0.0003803452036283961,0.0002449057707720257
Open/Mid Ratio,37701,37801,7,-0.7136729017137978,0.0007616502343057441,-0.0005792527778936643
Open/Mid Ratio,40201,40301,8,-0.6659739430609409,-0.0003803452036283961,0.00022000129783167235
